2081736	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCA-DEST1320']
2506951	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCPC53']
2081730	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCA-DEST1230']
1851816	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pAT4-50']
2419936	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pAMEXlox-1']
142845	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Binary_vector_pINDEX1']
1170209	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences', 'UNKNOWN__environmental_samples', 'UNKNOWN__prokaryotic_environmental_samples', 's__uncultured_organism_pCelD']
54395	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pRNA8']
2081754	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCA-DEST2302']
1356802	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences', 'UNKNOWN__mixed_culture', 'UNKNOWN__environmental_samples', 's__methanogenic_prokaryote_enrichment_culture_B31_3_91']
2081761	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCA-DEST2402']
2509809	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__synthetic_organisms', "s__synthetic_Caulobacter_sp._'ethensis'"]
1945448	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Yeast_expression_vector_pAS2A20']
1431315	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Expression_vector_pUDE204']
2136782	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Expression_vector_pCPC81']
1642505	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Binary_vector_PC-GW-mCherry']
1457551	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences', 'UNKNOWN__environmental_samples', 's__uncultured_soil_microorganism']
455547	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences', 'UNKNOWN__environmental_samples', 'UNKNOWN__prokaryotic_environmental_samples', 's__uncultured_marine_microorganism_HF4000_APKG2K17']
1642503	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Binary_vector_PC-GW-Hyg']
1356727	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences', 'UNKNOWN__mixed_culture', 'UNKNOWN__environmental_samples', 's__methanogenic_prokaryote_enrichment_culture_B19_84']
1931147	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pNOV077']
2081747	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCA-DEST2202']
